Date,Covishield,Covaxin,Sputnik,Dose 1,Dose 2
2021-03-08,15668064,1520635,0,,
2021-03-09,16739804,1619279,0,14003206,4357037
2021-03-10,17809439,1727948,0,14872785,4665762
2021-03-11,18197567,1755220,0,15204375,4749612
2021-03-12,19860313,1910640,0,16612019,5160140
2021-03-13,21148292,2010101,0,17698742,5460862
2021-03-14,21298664,2017875,0,17837716,5480034
2021-03-15,23433592,2183445,0,19766466,5851784
2021-03-16,29313725,2557019,0,25709257,6161488
2021-03-17,33620784,2875235,0,30011328,6484692
2021-03-18,35658703,3111700,0,31952935,6817469
2021-03-19,37977040,3332178,0,34228371,7080848
2021-03-20,40260683,3617184,0,36568988,7308880
2021-03-21,40934052,3711319,0,37303458,7341914
2021-03-22,43178899,4025733,0,39612614,7592019
2021-03-23,45554897,4418254,0,42148875,7824277
2021-03-24,47460323,4755913,0,44250191,7966046
2021-03-25,49523912,5065307,0,46454700,8134520
2021-03-26,51657738,5363425,0,48749313,8271851
2021-03-27,53653625,5581810,0,50865316,8370120
2021-03-28,53956699,5600420,0,51179587,8377533
2021-03-29,54509817,5673246,0,51774289,8408775
2021-03-30,56170007,5820234,0,53429356,8560886
2021-03-31,57956398,5979191,0,55188803,8746787
2021-04-01,60197476,6164245,0,57443466,8918256
2021-04-02,63675188,6415647,0,60936753,9154083
2021-04-03,66492525,6619593,0,63743700,9368419
2021-04-04,69524997,6880699,0,66838504,9567193
2021-04-05,72277231,7162657,0,69620234,9819655
2021-04-06,74645902,7419434,0,72035640,10029697
2021-04-07,79268093,7832533,0,76671812,10428815
2021-04-08,83713942,8167587,0,80998099,10883431
2021-04-09,87157426,8425992,0,84296847,11286572
2021-04-10,90391202,8678151,0,87411872,11657482
2021-04-11,93134548,8865852,0,90111528,11888873
2021-04-12,96852980,9117558,0,93559587,12410952
2021-04-13,99319107,9279181,0,95823614,12774675
2021-04-14,102280984,9632303,0,98703696,13209592
2021-04-15,104747822,9850203,0,100853671,13744355
2021-04-16,107126700,10178643,0,102927296,14378048
2021-04-17,109415944,10555424,0,104950409,15020960
2021-04-18,110495487,10711610,0,105896430,15310668
2021-04-19,113350410,11106751,0,108178574,16278588
2021-04-20,115913179,11515707,0,110165234,17263653
2021-04-21,117846188,11799916,0,111673361,17972744
2021-04-22,120577839,12176768,0,113584269,19170339
2021-04-23,123151196,12507127,0,115461202,20197122
2021-04-24,125410802,12775153,0,117105343,21080613
2021-04-25,126318327,12866845,0,117795008,21390165
2021-04-26,129397924,13127022,0,119886252,22638695
2021-04-27,131516688,13362545,0,121263287,23615946
2021-04-28,133417155,13636237,0,122538179,24515213
2021-04-29,135342722,13926050,0,123811908,25456864
2021-04-30,137819464,14178643,0,125376952,26621155
2021-05-01,139256407,14369918,0,126328970,27297355
